Barcode_ID	DrugMaster_Code_Key	Universal_Code_Key	IsGTIN	IsGTINOverride	AuditJob_ID	AuditCreate_Date	AuditUpdate_Date	AuditModify_Flag	AuditSource_Code
90	ACLO2	9327408000816	1	1	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
91	ACN9	9314839000119	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
92	ACN9	9314839001659	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
93	ACQU1	9327408001912	1	1	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
94	ACQU2	9327408001929	1	1	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
95	ACQU3	9327408001936	1	1	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
97	ACT2	9310059061282	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
98	ACT3	9323610000910	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
99	ACT33	9310488014064	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
100	ACT6	9316626100699	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
101	ACT8	9310059061275	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
102	ACT9	9310059061312	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
103	ACTI1	9310059061251	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
104	ACTI11	9334183000023	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
105	ACTI12	9334183000030	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
106	ACTI13	9334183000047	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
107	ACTI14	9334183000054	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
108	ACTI15	9334183000061	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
109	ACTI16	9334183000078	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
110	ACTI4	9300673458247	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
111	ACTI7	9310059061510	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
112	ACTI7	9314598103007	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
113	ACTI8	9310059061527	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
114	ACTI8	9314598103014	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
