GenNHS_ID	GenNHS_Code_Key	GenNHS_Name	OverrideGenNHS_Name	ChemistListPrice_Amt	MoleculeGroup_Name	GenNhsSubGroup_Name	GenNhsSubGroup_ID	EffectiveFromCalendarPeriod_Number	EffectiveToCalendarPeriod_Number	AuditJob_ID	AuditCreate_Date	AuditUpdate_Date	AuditModify_Flag	AuditSource_Code	OverrideGenNHS_Code_Description
860	CEH1	CEFALOTIN	NULL	17.2435		CEFALOTIN	297	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
861	CELE2	CELECOXIB	NULL	22.513	CELECOXIB	CELECOXIB	309	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
862	CELE4	CELECOXIB	NULL	22.513	CELECOXIB	CELECOXIB	309	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
863	CELE6	CELECOXIB	NULL	39.87		CELECOXIB	309	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
864	CELE8	CELECOXIB	NULL	10.35	CELECOXIB	CELECOXIB	309	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
865	CEP5	CEFALOTIN	NULL	17.2435	CEFALOTIN	CEFALOTIN	297	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
866	CEP6	CEFALOTIN	NULL	1.7243	CEFALOTIN	CEFALOTIN	297	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
867	CEP8	CEPHAZOLIN	NULL	3.8001	CEPHAZOLIN	CEPHAZOLIN	312	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
868	CEP9	CEPHAZOLIN	NULL	22.9545		CEPHAZOLIN	312	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
869	CEPH1	CEPHAMANDOLE NAFATE	NULL	9.03		CEPHAMANDOLE NAFATE	311	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
870	CEPH2	CEPHAMANDOLE NAFATE	NULL	4.73		CEPHAMANDOLE NAFATE	311	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
871	CEPH3	CEPHAMANDOLE NAFATE	NULL	90.50		CEPHAMANDOLE NAFATE	311	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
872	CERI1	CERIVASTATIN	NULL	28.9182		CERIVASTATIN	313	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
873	CERI2	CERIVASTATIN	NULL	34.60		CERIVASTATIN	313	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
